AssemblyAccession	Taxid	SpeciesTaxid	Organism	AssemblyStatus	RefSeq_category	FtpPath_GenBank	FtpPath_RefSeq	FtpPath_Assembly_rpt
GCF_020097375.1	28124	28124	Porphyromonas endodontalis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/097/375/GCA_020097375.1_ASM2009737v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/375/GCF_020097375.1_ASM2009737v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/375/GCF_020097375.1_ASM2009737v1/GCF_020097375.1_ASM2009737v1_assembly_report.txt
GCF_020097275.1	817	817	Bacteroides fragilis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/097/275/GCA_020097275.1_ASM2009727v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/275/GCF_020097275.1_ASM2009727v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/097/275/GCF_020097275.1_ASM2009727v1/GCF_020097275.1_ASM2009727v1_assembly_report.txt
GCF_020091565.1	817	817	Bacteroides fragilis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/565/GCA_020091565.1_ASM2009156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/565/GCF_020091565.1_ASM2009156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/565/GCF_020091565.1_ASM2009156v1/GCF_020091565.1_ASM2009156v1_assembly_report.txt
GCF_020091545.1	47678	47678	Bacteroides caccae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/545/GCA_020091545.1_ASM2009154v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/545/GCF_020091545.1_ASM2009154v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/545/GCF_020091545.1_ASM2009154v1/GCF_020091545.1_ASM2009154v1_assembly_report.txt
GCF_020091525.1	28116	28116	Bacteroides ovatus (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/525/GCA_020091525.1_ASM2009152v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/525/GCF_020091525.1_ASM2009152v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/525/GCF_020091525.1_ASM2009152v1/GCF_020091525.1_ASM2009152v1_assembly_report.txt
GCF_020091505.1	674529	674529	Bacteroides faecis (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/505/GCA_020091505.1_ASM2009150v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/505/GCF_020091505.1_ASM2009150v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/505/GCF_020091505.1_ASM2009150v1/GCF_020091505.1_ASM2009150v1_assembly_report.txt
GCF_020091485.1	46506	46506	Bacteroides stercoris (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/485/GCA_020091485.1_ASM2009148v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/485/GCF_020091485.1_ASM2009148v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/485/GCF_020091485.1_ASM2009148v1/GCF_020091485.1_ASM2009148v1_assembly_report.txt
GCF_020091465.1	821	821	Phocaeicola vulgatus (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/465/GCA_020091465.1_ASM2009146v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/465/GCF_020091465.1_ASM2009146v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/465/GCF_020091465.1_ASM2009146v1/GCF_020091465.1_ASM2009146v1_assembly_report.txt
GCF_020091445.1	823	823	Parabacteroides distasonis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/445/GCA_020091445.1_ASM2009144v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/445/GCF_020091445.1_ASM2009144v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/445/GCF_020091445.1_ASM2009144v1/GCF_020091445.1_ASM2009144v1_assembly_report.txt
GCF_020091425.1	328812	328812	Parabacteroides goldsteinii (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/425/GCA_020091425.1_ASM2009142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/425/GCF_020091425.1_ASM2009142v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/425/GCF_020091425.1_ASM2009142v1/GCF_020091425.1_ASM2009142v1_assembly_report.txt
GCF_020091405.1	246787	246787	Bacteroides cellulosilyticus (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/405/GCA_020091405.1_ASM2009140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/405/GCF_020091405.1_ASM2009140v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/405/GCF_020091405.1_ASM2009140v1/GCF_020091405.1_ASM2009140v1_assembly_report.txt
GCF_020091385.1	291644	291644	Bacteroides salyersiae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/385/GCA_020091385.1_ASM2009138v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/385/GCF_020091385.1_ASM2009138v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/385/GCF_020091385.1_ASM2009138v1/GCF_020091385.1_ASM2009138v1_assembly_report.txt
GCF_020091365.1	46503	46503	Parabacteroides merdae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/365/GCA_020091365.1_ASM2009136v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/365/GCF_020091365.1_ASM2009136v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/365/GCF_020091365.1_ASM2009136v1/GCF_020091365.1_ASM2009136v1_assembly_report.txt
GCF_020091345.1	291644	291644	Bacteroides salyersiae (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/345/GCA_020091345.1_ASM2009134v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/345/GCF_020091345.1_ASM2009134v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/345/GCF_020091345.1_ASM2009134v1/GCF_020091345.1_ASM2009134v1_assembly_report.txt
GCF_020091305.1	818	818	Bacteroides thetaiotaomicron (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/091/305/GCA_020091305.1_ASM2009130v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/305/GCF_020091305.1_ASM2009130v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/091/305/GCF_020091305.1_ASM2009130v1/GCF_020091305.1_ASM2009130v1_assembly_report.txt
GCF_020084865.1	2820270	2820270	Candidatus Kaistella beijingensis (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/084/865/GCA_020084865.1_ASM2008486v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/084/865/GCF_020084865.1_ASM2008486v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/084/865/GCF_020084865.1_ASM2008486v1/GCF_020084865.1_ASM2008486v1_assembly_report.txt
GCF_020042345.1	2875539	2875539	Arachidicoccus sp. 5GH13-10 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/042/345/GCA_020042345.1_ASM2004234v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/042/345/GCF_020042345.1_ASM2004234v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/042/345/GCF_020042345.1_ASM2004234v1/GCF_020042345.1_ASM2004234v1_assembly_report.txt
GCF_020042285.1	2875540	2875540	Ferruginibacter sp. KIS38-8 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/042/285/GCA_020042285.1_ASM2004228v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/042/285/GCF_020042285.1_ASM2004228v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/042/285/GCF_020042285.1_ASM2004228v1/GCF_020042285.1_ASM2004228v1_assembly_report.txt
GCF_019968605.1	1908341	1908341	Polaribacter litorisediminis (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/968/605/GCA_019968605.1_ASM1996860v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/968/605/GCF_019968605.1_ASM1996860v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/968/605/GCF_019968605.1_ASM1996860v1/GCF_019968605.1_ASM1996860v1_assembly_report.txt
GCF_019930725.1	1018	1018	Capnocytophaga ochracea (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/725/GCA_019930725.1_ASM1993072v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/725/GCF_019930725.1_ASM1993072v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/725/GCF_019930725.1_ASM1993072v1/GCF_019930725.1_ASM1993072v1_assembly_report.txt
GCF_019930665.1	291645	291645	Bacteroides nordii (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/665/GCA_019930665.1_ASM1993066v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/665/GCF_019930665.1_ASM1993066v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/665/GCF_019930665.1_ASM1993066v1/GCF_019930665.1_ASM1993066v1_assembly_report.txt
GCF_019930605.1	28133	28133	Prevotella nigrescens (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/930/605/GCA_019930605.1_ASM1993060v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/605/GCF_019930605.1_ASM1993060v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/930/605/GCF_019930605.1_ASM1993060v1/GCF_019930605.1_ASM1993060v1_assembly_report.txt
GCF_019916085.1	2696560	2696560	Aquirufa sp. 9H-EGSE (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/916/085/GCA_019916085.1_ASM1991608v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/916/085/GCF_019916085.1_ASM1991608v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/916/085/GCF_019916085.1_ASM1991608v1/GCF_019916085.1_ASM1991608v1_assembly_report.txt
GCF_019904275.1	2779359	2779359	Zunongwangia sp. SCSIO 43204 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/904/275/GCA_019904275.1_ASM1990427v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/275/GCF_019904275.1_ASM1990427v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/275/GCF_019904275.1_ASM1990427v1/GCF_019904275.1_ASM1990427v1_assembly_report.txt
GCF_019904255.1	2779360	2779360	Marixanthomonas sp. SCSIO 43207 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/904/255/GCA_019904255.1_ASM1990425v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/255/GCF_019904255.1_ASM1990425v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/255/GCF_019904255.1_ASM1990425v1/GCF_019904255.1_ASM1990425v1_assembly_report.txt
GCF_019904215.1	2779362	2779362	Mesoflavibacter sp. SCSIO 43206 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/904/215/GCA_019904215.1_ASM1990421v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/215/GCF_019904215.1_ASM1990421v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/904/215/GCF_019904215.1_ASM1990421v1/GCF_019904215.1_ASM1990421v1_assembly_report.txt
GCF_019896115.1	818	818	Bacteroides thetaiotaomicron (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/896/115/GCA_019896115.1_ASM1989611v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/896/115/GCF_019896115.1_ASM1989611v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/896/115/GCF_019896115.1_ASM1989611v1/GCF_019896115.1_ASM1989611v1_assembly_report.txt
GCF_019857385.1	818	818	Bacteroides thetaiotaomicron (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/857/385/GCA_019857385.1_ASM1985738v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/857/385/GCF_019857385.1_ASM1985738v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/857/385/GCF_019857385.1_ASM1985738v1/GCF_019857385.1_ASM1985738v1_assembly_report.txt
GCA_019856515.1	2053594	2053594	Prolixibacteraceae bacterium (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/856/515/GCA_019856515.1_ASM1985651v1	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/856/515/GCA_019856515.1_ASM1985651v1/GCA_019856515.1_ASM1985651v1_assembly_report.txt
GCF_019802785.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/785/GCA_019802785.1_ASM1980278v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/785/GCF_019802785.1_ASM1980278v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/785/GCF_019802785.1_ASM1980278v1/GCF_019802785.1_ASM1980278v1_assembly_report.txt
GCF_019802765.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/765/GCA_019802765.1_ASM1980276v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/765/GCF_019802765.1_ASM1980276v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/765/GCF_019802765.1_ASM1980276v1/GCF_019802765.1_ASM1980276v1_assembly_report.txt
GCF_019802745.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/745/GCA_019802745.1_ASM1980274v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/745/GCF_019802745.1_ASM1980274v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/745/GCF_019802745.1_ASM1980274v1/GCF_019802745.1_ASM1980274v1_assembly_report.txt
GCF_019802725.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/725/GCA_019802725.1_ASM1980272v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/725/GCF_019802725.1_ASM1980272v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/725/GCF_019802725.1_ASM1980272v1/GCF_019802725.1_ASM1980272v1_assembly_report.txt
GCF_019802705.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/802/705/GCA_019802705.1_ASM1980270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/705/GCF_019802705.1_ASM1980270v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/802/705/GCF_019802705.1_ASM1980270v1/GCF_019802705.1_ASM1980270v1_assembly_report.txt
GCF_019774595.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/774/595/GCA_019774595.1_ASM1977459v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/595/GCF_019774595.1_ASM1977459v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/595/GCF_019774595.1_ASM1977459v1/GCF_019774595.1_ASM1977459v1_assembly_report.txt
GCF_019774575.1	96345	96345	Flavobacterium psychrophilum (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/774/575/GCA_019774575.1_ASM1977457v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/575/GCF_019774575.1_ASM1977457v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/575/GCF_019774575.1_ASM1977457v1/GCF_019774575.1_ASM1977457v1_assembly_report.txt
GCF_019774515.1	2871165	2871165	Flavobacterium sp. CHNK8 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/774/515/GCA_019774515.1_ASM1977451v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/515/GCF_019774515.1_ASM1977451v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/774/515/GCF_019774515.1_ASM1977451v1/GCF_019774515.1_ASM1977451v1_assembly_report.txt
GCA_019720755.1	2053594	2053594	Prolixibacteraceae bacterium (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/720/755/GCA_019720755.1_ASM1972075v1	NA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/720/755/GCA_019720755.1_ASM1972075v1/GCA_019720755.1_ASM1972075v1_assembly_report.txt
GCF_019711195.1	2861765	2861765	Dyadobacter sp. NIV53 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/195/GCA_019711195.1_ASM1971119v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/711/195/GCF_019711195.1_ASM1971119v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/711/195/GCF_019711195.1_ASM1971119v1/GCF_019711195.1_ASM1971119v1_assembly_report.txt
GCF_019702945.1	2830782	2830782	Flavobacterium sp. KK2020170 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/702/945/GCA_019702945.1_ASM1970294v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/702/945/GCF_019702945.1_ASM1970294v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/702/945/GCF_019702945.1_ASM1970294v1/GCF_019702945.1_ASM1970294v1_assembly_report.txt
GCF_019613955.1	2864040	2864040	Chryseobacterium sp. LJ668 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/613/955/GCA_019613955.1_ASM1961395v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/613/955/GCF_019613955.1_ASM1961395v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/613/955/GCF_019613955.1_ASM1961395v1/GCF_019613955.1_ASM1961395v1_assembly_report.txt
GCF_019613795.1	2856519	2856519	Flavobacterium sp. WSW3-B6 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/613/795/GCA_019613795.1_ASM1961379v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/613/795/GCF_019613795.1_ASM1961379v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/613/795/GCF_019613795.1_ASM1961379v1/GCF_019613795.1_ASM1961379v1_assembly_report.txt
GCF_019565455.1	2906078	2906078	Flavobacterium oreochromis (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/565/455/GCA_019565455.1_ASM1956545v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/565/455/GCF_019565455.1_ASM1956545v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/565/455/GCF_019565455.1_ASM1956545v1/GCF_019565455.1_ASM1956545v1_assembly_report.txt
GCF_019552325.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/325/GCA_019552325.1_ASM1955232v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/325/GCF_019552325.1_ASM1955232v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/325/GCF_019552325.1_ASM1955232v1/GCF_019552325.1_ASM1955232v1_assembly_report.txt
GCF_019552205.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/205/GCA_019552205.1_ASM1955220v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/205/GCF_019552205.1_ASM1955220v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/205/GCF_019552205.1_ASM1955220v1/GCF_019552205.1_ASM1955220v1_assembly_report.txt
GCF_019552185.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	representative genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/185/GCA_019552185.1_ASM1955218v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/185/GCF_019552185.1_ASM1955218v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/185/GCF_019552185.1_ASM1955218v1/GCF_019552185.1_ASM1955218v1_assembly_report.txt
GCF_019552165.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/165/GCA_019552165.1_ASM1955216v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/165/GCF_019552165.1_ASM1955216v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/165/GCF_019552165.1_ASM1955216v1/GCF_019552165.1_ASM1955216v1_assembly_report.txt
GCF_019552145.1	34085	34085	Riemerella anatipestifer (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/552/145/GCA_019552145.1_ASM1955214v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/145/GCF_019552145.1_ASM1955214v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/552/145/GCF_019552145.1_ASM1955214v1/GCF_019552145.1_ASM1955214v1_assembly_report.txt
GCF_019551475.1	2691580	2691580	Prevotella sp. Rep29 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/551/475/GCA_019551475.1_ASM1955147v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/551/475/GCF_019551475.1_ASM1955147v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/551/475/GCF_019551475.1_ASM1955147v1/GCF_019551475.1_ASM1955147v1_assembly_report.txt
GCF_019469245.1	2704651	2704651	Apibacter sp. ESL0404 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/469/245/GCA_019469245.1_ASM1946924v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/469/245/GCF_019469245.1_ASM1946924v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/469/245/GCF_019469245.1_ASM1946924v1/GCF_019469245.1_ASM1946924v1_assembly_report.txt
GCF_019469225.1	2704652	2704652	Apibacter sp. ESL0432 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/469/225/GCA_019469225.1_ASM1946922v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/469/225/GCF_019469225.1_ASM1946922v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/469/225/GCF_019469225.1_ASM1946922v1/GCF_019469225.1_ASM1946922v1_assembly_report.txt
GCF_019443765.1	2705473	2705473	Algoriphagus sp. NBT04N3 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/443/765/GCA_019443765.1_ASM1944376v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/443/765/GCF_019443765.1_ASM1944376v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/443/765/GCF_019443765.1_ASM1944376v1/GCF_019443765.1_ASM1944376v1_assembly_report.txt
GCF_019357415.1	2705471	2705471	Gramella sp. MT6 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/357/415/GCA_019357415.1_ASM1935741v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/357/415/GCF_019357415.1_ASM1935741v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/357/415/GCF_019357415.1_ASM1935741v1/GCF_019357415.1_ASM1935741v1_assembly_report.txt
GCF_019331605.1	2778902	2778902	Mucilaginibacter sp. 21P (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/331/605/GCA_019331605.1_ASM1933160v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/331/605/GCF_019331605.1_ASM1933160v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/331/605/GCF_019331605.1_ASM1933160v1/GCF_019331605.1_ASM1933160v1_assembly_report.txt
GCF_019317325.1	2856522	2856522	Chryseobacterium sp. D764 (CFB group bacteria)	Complete Genome	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/317/325/GCA_019317325.1_ASM1931732v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/325/GCF_019317325.1_ASM1931732v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/317/325/GCF_019317325.1_ASM1931732v1/GCF_019317325.1_ASM1931732v1_assembly_report.txt
